Sample	avg_sequence_length	percent_dedup	percent_duplicates	seq_len_read_count	seq_len_bp	sequence_length	total_sequences	percent_gc
SRR10261591_tr_1P	49.9999627332	36.0133211741	63.9866788259	27906857.0	1395341810.0	30-50	27906857.0	39.0
SRR10261591_tr_2P	49.9999741282	35.0645970639	64.9354029361	27906857.0	1395342128.0	30-50	27906857.0	39.0
SRR10261592_tr_1P	49.9999535312	30.0870732629	69.9129267371	41253470.0	2062671583.0	30-50	41253470.0	39.0
SRR10261592_tr_2P	49.9999733841	29.3036662943	70.6963337057	41253470.0	2062672402.0	30-50	41253470.0	39.0
SRR10261593_tr_1P	49.9999631483	33.6993159973	66.3006840027	30771966.0	1538597166.0	30-50	30771966.0	39.0
SRR10261593_tr_2P	49.9999759521	32.89268208	67.10731792	30771966.0	1538597560.0	30-50	30771966.0	39.0
SRR10261594_tr_1P	49.9999523335	43.7551270431	56.2448729569	34573540.0	1728675352.0	30-50	34573540.0	40.0
SRR10261594_tr_2P	49.9999722042	43.1661515869	56.8338484131	34573540.0	1728676039.0	30-50	34573540.0	40.0
SRR10261595_tr_1P	49.9999255098	45.1153999416	54.8846000584	28916539.0	1445824796.0	30-50	28916539.0	41.0
SRR10261595_tr_2P	49.999965556	44.6100047506	55.3899952494	28916539.0	1445825954.0	30-50	28916539.0	40.0
SRR10261596_tr_1P	49.9999707092	43.9122907123	56.0877092877	28916966.0	1445847453.0	30-50	28916966.0	40.0
SRR10261596_tr_2P	49.9999554933	45.2979088804	54.7020911196	28916966.0	1445847013.0	30-50	28916966.0	40.0
