Sample	fastqc_percent_duplicates	fastqc_percent_gc	fastqc_avg_sequence_length	fastqc_total_sequences
SRR10261591_tr_1P	63.9866788259	39.0	49.9999627332	27906857.0
SRR10261591_tr_2P	64.9354029361	39.0	49.9999741282	27906857.0
SRR10261592_tr_1P	69.9129267371	39.0	49.9999535312	41253470.0
SRR10261592_tr_2P	70.6963337057	39.0	49.9999733841	41253470.0
SRR10261593_tr_1P	66.3006840027	39.0	49.9999631483	30771966.0
SRR10261593_tr_2P	67.10731792	39.0	49.9999759521	30771966.0
SRR10261594_tr_1P	56.2448729569	40.0	49.9999523335	34573540.0
SRR10261594_tr_2P	56.8338484131	40.0	49.9999722042	34573540.0
SRR10261595_tr_1P	54.8846000584	41.0	49.9999255098	28916539.0
SRR10261595_tr_2P	55.3899952494	40.0	49.999965556	28916539.0
SRR10261596_tr_1P	56.0877092877	40.0	49.9999707092	28916966.0
SRR10261596_tr_2P	54.7020911196	40.0	49.9999554933	28916966.0
